model,weight,chan,nlbl,MAE,RMSE,PC,u_res,nTP,nFP,nTN,nFN,N,err,acc,pre,rec,f1,f1_div_MAE,f1_mul_PC_div_MAE,f1_div_1MAE,f1_mul_PC_div_1MAE
EQTransformer,instance,BHP,1075,0.49268837209302324,,0.9423255813953488,0.5137148399612027,1013,64,971,62,2110,0.05971563981042654,0.9402843601895735,0.978743961352657,0.9423255813953488,0.9414498141263941,1.9108423649759716,1.8006356425308458,0.6307075419943873,0.5943318512002924
EQTransformer,instance,BHS,570,0.6262982456140351,,0.9385964912280702,0.6610925925925926,535,22,519,35,1111,0.05130513051305131,0.9486948694869487,0.988909426987061,0.9385964912280702,0.9494232475598935,1.5159283204267326,1.4228450025057928,0.5837940550697842,0.5479470516883063
EQTransformer,instance,EHP,1570,0.35938216560509556,,0.9038216560509554,0.39319163763066206,1419,75,1368,151,3013,0.07500829737802854,0.9249917026219715,0.9833679833679834,0.9038216560509554,0.9262402088772846,2.5773126702538622,2.3294310057899557,0.6813685160162386,0.6158356205267786
EQTransformer,pnw,EHS,598,0.34120401337792644,,0.7792642140468228,0.4304641350210971,466,24,452,132,1074,0.1452513966480447,0.8547486033519553,0.9789915966386554,0.7792642140468228,0.8566176470588235,2.510573186341778,1.9563998408616532,0.6386930239653589,0.49771061733755395
EQTransformer,instance,ENP,2980,0.3529664429530202,,0.6469798657718121,0.5301612903225807,1928,77,1907,1052,4964,0.2274375503626108,0.7725624496373892,0.9717741935483871,0.6469798657718121,0.7735205616850551,2.191484706629776,1.4178464813363114,0.571721912035563,0.36989256590757225
EQTransformer,stead,ENS,1568,1.3994642857142856,,0.6887755102040817,1.8195356550580428,1080,355,902,488,2825,0.2984070796460177,0.7015929203539824,0.8591885441527446,0.6887755102040817,0.7192807192807192,0.513968614006894,0.35400899434148314,0.2997672120244123,0.2064723144045697
EQTransformer,instance,HHP,1886,0.4585524920466596,,0.9623541887592789,0.47310175054704595,1815,57,1772,71,3715,0.034454912516823685,0.9655450874831764,0.9923455440131219,0.9623541887592789,0.9659393294305482,2.1064967395973935,2.0271959609593155,0.6622588728878244,0.6373276003665967
EQTransformer,pnw,HHS,938,0.22585287846481877,,0.8773987206823027,0.25585748792270535,823,30,798,115,1766,0.08210645526613816,0.9178935447338619,0.9939613526570048,0.8773987206823027,0.9190396426577331,4.069196057649061,3.570307415186756,0.7497144712901279,0.6577985179869672
EQTransformer,instance,HNP,1814,0.5726957001102535,,0.8423373759647188,0.661279439847231,1528,92,1481,286,3387,0.11160318866253321,0.8883968113374667,0.9713922441195169,0.8423373759647188,0.8899242865463017,1.5539217185932712,1.3089263428944422,0.5658591719198531,0.47664433004053774
EQTransformer,stead,HNS,994,2.061539235412475,,0.7183098591549296,2.315446327683616,714,433,532,280,1959,0.36396120469627363,0.6360387953037264,0.7398963730569948,0.7183098591549296,0.6669780476412891,0.3235340061368463,0.23239766637998818,0.2178570961712429,0.15648890006666746
