model,weight,chan,nlbl,MAE,RMSE,PC,u_res,nTP,nFP,nTN,nFN,N,err,acc,pre,rec,f1,f1_div_MAE,f1_mul_PC_div_MAE,f1_div_1MAE,f1_mul_PC_div_1MAE
EQTransformer,pnw,BHP,1075,0.17510697674418604,,0.8902325581395348,0.1938619979402678,957,59,914,118,2048,0.08642578125,0.91357421875,0.9835560123329907,0.8902325581395348,0.9153515064562411,5.227384559288457,4.653587928594468,0.7789516397837776,0.6934481109516978
EQTransformer,pnw,BHS,570,0.26507017543859657,,0.9122807017543859,0.29000000000000004,520,18,503,50,1091,0.06232813932172319,0.9376718606782768,0.9980806142034548,0.9122807017543859,0.9386281588447654,3.5410553348435774,3.230436445822211,0.7419573847113622,0.6768734035963304
EQTransformer,instance,EHP,1570,0.35938216560509556,,0.9038216560509554,0.39319163763066206,1419,75,1368,151,3013,0.07500829737802854,0.9249917026219715,0.9833679833679834,0.9038216560509554,0.9262402088772846,2.5773126702538622,2.3294310057899557,0.6813685160162386,0.6158356205267786
EQTransformer,pnw,EHS,598,0.34120401337792644,,0.7792642140468228,0.4304641350210971,466,24,452,132,1074,0.1452513966480447,0.8547486033519553,0.9789915966386554,0.7792642140468228,0.8566176470588235,2.510573186341778,1.9563998408616532,0.6386930239653589,0.49771061733755395
EQTransformer,instance,ENP,2980,0.3529664429530202,,0.6469798657718121,0.5301612903225807,1928,77,1907,1052,4964,0.2274375503626108,0.7725624496373892,0.9717741935483871,0.6469798657718121,0.7735205616850551,2.191484706629776,1.4178464813363114,0.571721912035563,0.36989256590757225
EQTransformer,pnw,ENS,1568,0.017563775510204084,,0.4272959183673469,0.0408,670,14,662,898,2244,0.40641711229946526,0.5935828877005348,0.9911242603550295,0.4272959183673469,0.5950266429840142,33.87806013794241,14.475956819146313,0.584756117802709,0.24986390237743306
EQTransformer,pnw,HHP,1886,0.242338282078473,,0.9225874867444327,0.2601309049516221,1740,101,1659,146,3646,0.06774547449259462,0.9322545255074054,0.9886363636363636,0.9225874867444327,0.9337268580627851,3.8529895072889455,3.5547199059823784,0.7515882521953918,0.6934059166595874
EQTransformer,pnw,HHS,938,0.22585287846481877,,0.8773987206823027,0.25585748792270535,823,30,798,115,1766,0.08210645526613816,0.9178935447338619,0.9939613526570048,0.8773987206823027,0.9190396426577331,4.069196057649061,3.570307415186756,0.7497144712901279,0.6577985179869672
EQTransformer,instance,HNP,1814,0.5726957001102535,,0.8423373759647188,0.661279439847231,1528,92,1481,286,3387,0.11160318866253321,0.8883968113374667,0.9713922441195169,0.8423373759647188,0.8899242865463017,1.5539217185932712,1.3089263428944422,0.5658591719198531,0.47664433004053774
EQTransformer,pnw,HNS,994,0.23541247484909464,,0.5020120724346077,0.45348837209302334,499,22,494,495,1510,0.3423841059602649,0.6576158940397351,0.9670542635658915,0.5020120724346077,0.6587458745874587,2.798262390341597,1.4047615017912043,0.5332193805699788,0.2676825663022328
